communityname,State,countyCode,communityCode,fold,pop,perHoush,pctBlack,pctWhite,pctAsian,pctHisp,pct12-21,pct12-29,pct16-24,pct65up,persUrban,pctUrban,medIncome,pctWwage,pctWfarm,pctWdiv,pctWsocsec,pctPubAsst,pctRetire,medFamIncome,perCapInc,whitePerCap,blackPerCap,NAperCap,asianPerCap,otherPerCap,hispPerCap,persPoverty,pctPoverty,pctLowEdu,pctNotHSgrad,pctCollGrad,pctUnemploy,pctEmploy,pctEmployMfg,pctEmployProfServ,pctOccupManu,pctOccupMgmt,pctMaleDivorc,pctMaleNevMar,pctFemDivorc,pctAllDivorc,persPerFam,pct2Par,pctKids2Par,pctKids-4w2Par,pct12-17w2Par,pctWorkMom-6,pctWorkMom-18,kidsBornNevrMarr,pctKidsBornNevrMarr,numForeignBorn,pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,numPolice,policePerPop,policeField,policeFieldPerPop,policeCalls,policCallPerPop,policCallPerOffic,policePerPop2,racialMatch,pctPolicWhite,pctPolicBlack,pctPolicHisp,pctPolicAsian,pctPolicMinority,officDrugUnits,numDiffDrugsSeiz,policAveOT,landArea,popDensity,pctUsePubTrans,policCarsAvail,policOperBudget,pctPolicPatrol,gangUnit,pctOfficDrugUnit,policBudgetPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,nonViolPerPop,violentPerPop
BowlingGreencity,KY,,,1,40641,2.54,12.18,86.39,1.12,0.68,21.51,36.83,23.96,11.5,0,0.0,20043,75.23,1.24,34.02,27.11,9.6,13.84,27655,11760,12608,6016,6636,9119,1982.0,16133,8759,23.91,15.28,28.52,23.41,6.93,58.62,16.08,29.05,15.13,27.47,10.16,39.19,13.43,11.95,2.92,64.6,60.7,71.28,67.77,58.45,68.49,996,3.56,626,33.23,49.52,53.51,59.74,0.51,0.76,0.82,0.92,96.72,0.59,2.99,1.87,2.29,2.4,2.17,53.11,2.49,53.27,2,1528,91.27,50.59,1.51,28.93,1966,10.67,0.23,40600,58200,84900,44300,193,267,329,136,332,27.9,20.0,12.3,28,2,1.54,70.53,41.51,72.68,88.87,,,,,,,,,,,,,,,,,,30.0,1354.2,0.28,,,,,0.0,,3,6.54,36.0,78.53,58.0,126.52,269.0,586.8,582.0,1269.58,1786.0,3895.99,148.0,322.85,9.0,19.63,5508.05,798.39
Dunedincity,FL,,,6,34012,2.14,1.07,98.12,0.43,1.83,9.04,17.98,8.56,28.7,34012,100.0,25906,59.1,0.51,55.49,49.21,3.71,28.87,33578,16721,16881,5061,22173,11533,16008.0,14283,2357,7.12,5.5,18.44,18.91,3.89,49.29,10.16,24.25,8.92,25.65,10.13,20.78,12.53,11.47,2.64,73.38,72.09,80.75,69.51,65.07,77.38,224,0.79,2400,5.17,7.38,8.58,12.54,0.36,0.52,0.61,0.88,92.76,0.57,1.76,1.1,2.08,2.15,1.91,72.87,1.06,69.4,2,2523,86.3,70.49,0.52,16.01,1973,2.49,0.0,60900,76500,99700,38800,312,395,473,161,466,27.8,22.8,11.7,0,0,7.06,14.7,47.97,73.84,78.16,,,,,,,,,,,,,,,,,,10.7,3173.9,0.65,,,,,0.0,,1,2.89,10.0,28.85,28.0,80.79,139.0,401.07,382.0,1102.23,934.0,2694.98,62.0,178.9,5.0,14.43,3990.54,513.6
Scherervilletown,IN,,,9,19926,2.69,0.72,97.01,1.27,3.57,13.7,26.8,11.81,6.82,19926,100.0,42658,89.11,0.76,52.15,16.2,1.3,11.45,48613,18411,18389,9070,9188,32131,13476.0,14517,677,3.43,4.84,12.75,25.25,3.3,70.87,24.98,23.85,13.09,29.56,8.01,26.72,9.57,8.8,3.2,86.02,85.0,94.38,79.56,54.37,61.61,50,0.38,1093,4.03,6.59,7.87,13.27,0.22,0.36,0.43,0.73,89.89,1.79,3.77,2.76,2.67,3.0,2.01,74.58,1.35,47.31,3,287,96.27,66.28,1.05,16.38,1977,1.01,0.09,80200,101600,134300,54100,380,425,476,96,493,21.5,18.7,11.4,0,0,5.49,56.37,42.23,80.13,82.07,,,,,,,,,,,,,,,,,,13.4,1482.1,2.22,,,,,0.0,,0,0.0,1.0,4.05,5.0,20.24,0.0,0.0,85.0,344.09,497.0,2011.9,88.0,356.23,3.0,12.14,2724.37,24.29
Sacocity,ME,31.0,64675.0,10,15181,2.54,0.29,98.87,0.63,0.55,12.92,26.84,12.38,12.05,0,0.0,32655,80.16,0.98,46.92,26.95,5.55,14.59,37328,14405,14395,2084,0,22279,0.0,18759,914,6.07,9.0,19.37,20.74,5.98,64.91,21.38,25.54,14.6,26.37,8.58,27.28,11.43,10.09,3.01,78.41,77.05,87.06,84.42,69.53,76.98,120,1.1,442,9.5,10.86,12.44,12.44,0.28,0.32,0.36,0.36,82.53,1.1,2.69,1.87,2.52,2.73,2.17,68.3,1.07,49.46,3,848,87.58,63.15,3.89,71.34,1958,3.03,1.05,88500,112300,145800,57300,336,437,527,191,506,25.5,23.0,14.6,0,0,2.91,71.81,54.49,80.25,89.44,,,,,,,,,,,,,,,,,,39.9,380.7,0.83,,,,,0.0,,0,0.0,2.0,12.99,3.0,19.48,5.0,32.47,94.0,610.47,498.0,3234.19,20.0,129.89,2.0,12.99,3987.53,64.94
Martinsburgcity,WV,,,7,14073,2.33,8.56,90.13,0.58,1.16,12.63,24.74,11.78,17.02,0,0.0,22193,68.88,0.77,34.66,38.01,6.77,21.29,28899,11563,11822,8345,10545,16123,0.0,11488,2232,16.07,14.44,32.13,16.72,8.38,53.53,20.2,28.63,20.7,25.03,13.34,27.62,14.38,13.91,2.98,67.54,63.24,77.37,71.41,63.97,71.63,413,3.86,238,7.98,15.97,25.63,31.93,0.14,0.27,0.43,0.54,96.07,0.52,4.29,2.63,2.3,2.43,2.16,55.2,1.74,51.41,2,630,90.55,52.32,3.65,37.46,1952,10.55,0.76,41500,57400,80000,38500,190,275,373,183,355,25.6,17.3,12.5,36,0,1.69,63.23,52.17,79.02,85.64,,,,,,,,,,,,,,,,,,4.7,3009.6,2.03,,,,,0.0,,3,20.04,0.0,0.0,20.0,133.6,35.0,233.8,202.0,1349.37,927.0,6192.38,65.0,434.2,15.0,100.2,8076.15,387.44
NorthPalmBeachvillage,FL,,,7,11343,2.04,0.26,98.91,0.51,2.28,7.71,15.43,7.37,29.89,11343,100.0,38464,63.67,0.63,65.34,46.82,2.31,24.4,49389,26855,26897,0,0,37373,10205.0,16188,438,3.86,1.99,10.3,31.13,2.95,49.31,16.66,23.66,5.13,38.38,9.56,20.89,11.12,10.4,2.58,80.75,80.47,88.25,92.56,67.44,77.27,71,0.71,767,6.39,9.52,12.91,19.82,0.43,0.64,0.87,1.34,92.51,0.38,1.42,0.86,2.04,2.13,1.74,80.83,0.5,60.23,2,1220,82.01,77.58,2.87,28.28,1970,0.11,0.0,94400,128200,200500,106100,483,558,745,262,648,27.6,20.1,13.4,0,0,6.76,16.44,57.81,79.19,83.32,,,,,,,,,,,,,,,,,,3.4,3308.9,0.0,,,,,0.0,,0,0.0,1.0,8.96,12.0,107.53,17.0,152.33,153.0,1370.97,272.0,2437.28,26.0,232.97,3.0,26.88,4068.1,268.82
Logansportcity,IN,,,6,16812,2.45,1.17,98.04,0.23,0.6,14.06,25.74,11.81,15.98,0,0.0,20533,72.7,0.39,37.0,34.47,7.81,18.21,26636,10268,10389,4777,4028,17684,1800.0,6307,2578,15.86,9.27,29.84,6.83,9.68,56.21,33.14,22.23,24.72,15.11,13.2,25.19,16.66,15.13,3.0,66.81,64.63,73.41,61.13,74.28,77.68,201,1.34,141,6.38,6.38,15.6,15.6,0.05,0.05,0.13,0.13,97.62,0.14,3.9,2.56,2.38,2.45,2.25,65.28,1.11,49.01,3,491,93.33,63.26,2.44,52.55,1939,8.77,0.34,23300,32600,43100,19800,164,222,275,111,295,23.5,16.3,12.2,0,6,0.84,84.66,58.62,87.31,94.98,,,,,,,,,,,,,,,,,,6.6,2530.4,0.12,,,,,0.0,,0,0.0,8.0,47.01,2.0,11.75,4.0,23.5,177.0,1040.01,689.0,4048.42,11.0,64.63,0.0,0.0,5153.06,82.26
Pearlandcity,TX,,,5,18697,2.84,1.67,90.93,1.44,12.36,14.12,25.46,11.54,7.16,18716,100.0,42565,90.09,1.19,44.12,16.33,1.83,9.82,48113,17437,17941,14745,16559,19609,9182.0,11610,879,4.74,5.5,14.97,22.1,3.13,72.23,18.1,21.76,8.71,30.13,8.75,22.55,11.98,10.41,3.16,80.74,79.57,92.33,79.46,60.77,72.37,180,1.43,648,16.82,22.38,25.77,42.9,0.58,0.78,0.89,1.49,89.02,1.55,3.73,3.05,2.82,2.97,2.47,73.93,4.04,29.09,3,236,96.54,70.23,2.54,51.69,1976,2.28,0.54,61800,75000,98100,36300,313,371,453,140,469,23.0,20.8,11.3,0,0,3.46,69.24,49.72,70.26,93.34,,,,,,,,,,,,,,,,,,20.4,916.2,0.65,,,,,0.0,,0,0.0,1.0,3.94,11.0,43.3,40.0,157.45,163.0,641.61,531.0,2090.14,109.0,429.05,8.0,31.49,3192.28,204.68
BellefontaineNeighborscity,MO,,,3,10922,2.45,8.05,91.51,0.29,0.79,7.97,19.65,8.0,22.85,10922,100.0,31726,66.64,0.61,55.24,44.08,3.35,28.34,37930,14227,14526,11204,22000,1931,12000.0,9163,390,3.72,18.74,33.85,11.63,5.01,52.1,19.24,20.1,13.82,25.81,5.68,26.5,7.85,6.85,2.85,81.95,81.5,95.16,83.15,70.84,75.41,60,0.72,82,0.0,0.0,35.37,35.37,0.0,0.0,0.27,0.27,96.67,0.06,2.86,2.02,2.35,2.35,2.39,92.63,1.03,45.55,3,108,97.63,92.75,0.0,41.67,1956,0.31,0.0,52200,57500,67500,15300,332,418,477,145,510,21.3,17.7,11.8,0,0,0.75,82.59,71.79,85.04,97.63,,,,,,,,,,,,,,,,,,4.5,2401.5,1.46,,,,,0.0,,0,0.0,0.0,0.0,21.0,192.82,16.0,146.91,88.0,808.01,338.0,3103.48,55.0,505.0,0.0,0.0,4416.49,339.73
Overlandcity,MO,,,10,17987,2.51,6.38,91.63,1.36,0.9,10.63,24.68,10.21,14.46,17994,100.0,28727,75.25,0.77,43.62,32.66,5.79,19.38,32917,13127,13473,9546,6309,7821,15125.0,7761,1481,8.27,12.9,29.94,10.78,6.31,62.76,22.36,16.38,17.25,18.41,11.01,26.93,14.45,12.85,2.99,69.04,66.65,74.37,74.31,78.63,80.59,389,2.58,448,11.16,21.21,38.84,47.1,0.28,0.53,0.97,1.17,96.65,0.86,4.17,3.01,2.5,2.57,2.3,75.72,2.02,54.93,2,348,95.37,73.66,1.44,31.9,1951,2.49,0.16,45600,54000,65200,19600,270,342,398,128,431,27.2,16.8,12.7,0,0,2.49,77.6,63.3,82.88,94.66,,,,,,,,,,,,,,,,,,4.5,3961.9,1.33,,,,,0.0,,0,0.0,4.0,21.65,24.0,129.91,50.0,270.65,150.0,811.95,823.0,4454.91,58.0,313.95,2.0,10.83,5591.64,422.22
