Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media_Local_Fogo,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,TABATINGA_10100000,PALMEIRAS_DO_JAVARI_10200000,ESTIRÃO_DO_REPOUSO_10500000,SÃO_PAULO_DE_OLIVENÇA_11400000,IPIRANGA_NOVO_11444900,SANTO_ANTÔNIO_DO_IÇÁ_11500000,VILA_BITTENCOURT_12845000,ACANAUI_12850000,MARAÃ_12872000,ITAPEUÁ_13150000,FLORIANO_PEIXOTO_13650000,VALPARAÍSO_-_MONTANTE_13710001,FAZENDA_BORANGABA_13740000,SERINGAL_FORTALEZA_13750000,BEABÁ_13955000,ARUMÃ_-_JUSANTE_13962000,PARICATUBA_13980000,BERURI_13990000,MANACAPURU_14100000,CUCUÍ_14110000,MISSÃO_IÇANA_14230000,SÃO_FELIPE_14250000,UARAÇU_14260000,TARAQUA_14280001,PARI_CACHOEIRA_14300000,CUNURI_14310000,SÃO_GABRIEL_DA_CACHOEIRA_14320001,TUMBIRA_14325000,CURICURIARI_14330000,JUSANTE_DA_CACHOEIRA_DO_CAJU_14350000,TAPURUQUARA_14400000,SERRINHA_14420000,POSTO_AJURICABA_14440000,BARCELOS_14480002,MOURA_14840000,UMANAPANA_14855000,JATUARANA_15030000,AUTAZES_15035000,CAREIRO_15040000,HUMAITÁ_15630000,MALOCA_TENHARIM_15650000,MAICI-MIRIM_15660000,MANICORÉ_15700000,LEONTINO_15795000,BOCA_DO_GUARIBA_15800000,SANTAREM_SUCUNDURI_15910000,ITACOATIARA_16030000,BARRA_DO_SÃO_MANUEL_-_JUSANTE_17430000
2000-01,AM,7,5,1.4,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,693.47,1009.32,991.63,872.31,699.93,824.61,468.11,616.48,711.02,931.42,1410.55,1360.87,1352.16,1992.92,1467.31,1393.87,1295.31,1290.87,1146.29,1354.23,1334.19,518.39,431.82,942.98,391.74,436.11,466.77,803.6,608.44,1230.03,181.85,454.03,554.37,223.02,512.32,1065.29,996.98,1279.02,838.1,1757.11,543.45,706.06,1931.34,1251.85,698.85,720.56,1460.55,727.71
2000-02,AM,62,21,2.95,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,761.26,1181.43,1216.17,913.4,689.88,905.76,462.05,630.55,703.76,949.84,1398.02,1372.72,1294.36,1961.9,1643.14,1556.16,1416.21,1371.53,1248.0,1403.67,1444.95,640.48,488.76,1027.26,554.28,585.45,606.09,996.02,752.19,1389.4,278.26,532.76,521.81,288.07,653.28,1236.09,1140.95,1464.69,980.9,1972.53,570.91,790.59,2167.55,1376.4,804.22,1030.98,1627.21,806.52
2000-03,AM,69,14,4.93,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,994.48,1268.69,1287.9,1103.69,781.37,1031.47,596.94,714.42,894.53,1093.35,1388.16,1460.63,1354.19,2119.08,1802.84,1732.55,1587.71,1517.21,1391.05,1435.18,1506.18,689.97,519.84,1053.9,573.11,601.6,649.02,1018.35,806.68,1422.48,334.47,587.0,536.6,326.87,778.52,1222.73,1288.53,1612.35,1124.95,2100.03,662.15,893.53,2296.65,1487.42,926.95,1058.16,1772.66,880.68
2000-04,AM,18,8,2.25,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,1140.17,1485.28,1487.38,1260.85,1032.68,1174.8,968.02,1011.7,1126.67,1303.6,1005.47,1223.43,1353.45,1962.53,1933.27,1890.98,1758.98,1743.85,1596.1,1719.13,1708.98,919.82,806.63,1315.0,1009.78,1002.83,838.6,1175.82,1044.22,1584.27,507.42,750.02,775.08,491.17,1012.6,1341.93,1502.05,1788.5,1330.02,2061.33,649.8,736.92,2353.25,1369.35,817.82,1061.13,1942.27,803.17
2000-05,AM,51,12,4.25,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,1280.34,1461.55,1636.32,1387.13,1236.29,1313.89,1231.92,1254.92,1380.55,1491.98,861.35,900.27,1040.92,1611.08,1969.58,1985.74,1905.79,1919.81,1780.81,1922.32,1943.34,1170.85,1034.05,1547.77,993.16,1040.0,1035.82,1152.24,1305.65,1625.48,716.24,947.42,1045.73,761.95,1273.92,1503.89,1668.32,1907.26,1513.87,1787.89,515.98,581.85,2142.84,1184.81,630.65,841.69,2072.16,600.87
2000-06,AM,6,2,3.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,1208.23,1023.32,1333.98,1361.05,1273.55,1323.77,1294.27,1348.58,1497.7,1602.68,694.43,580.42,607.25,1117.97,1935.1,2036.05,2002.15,2032.5,1888.08,2094.62,1930.58,1234.43,966.02,1473.87,796.13,855.3,1062.33,1160.43,1340.75,1655.45,782.83,1015.38,1054.03,953.6,1465.12,1655.62,1753.58,1970.58,1610.43,1523.92,349.78,379.17,1810.77,1012.37,459.65,485.37,2112.57,417.63
2000-07,AM,40,8,5.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,1062.81,874.18,1029.05,1258.32,1308.68,1233.21,1267.56,1342.44,1477.26,1612.24,667.45,457.5,517.68,913.68,1789.69,1999.11,1991.42,2042.52,1894.92,2043.56,1949.87,1202.53,993.77,1465.85,678.77,685.35,1040.16,1061.13,1295.32,1544.87,735.76,970.31,1018.31,937.4,1456.94,1623.89,1753.81,1946.56,1609.82,1283.89,306.32,305.23,1595.69,944.82,396.45,345.08,2080.18,344.47
2000-08,AM,185,18,10.28,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,737.26,775.34,665.74,964.98,1199.66,982.5,1096.61,1229.74,1351.05,1500.15,613.9,422.69,436.37,847.05,1629.29,1845.24,1872.19,1919.71,1790.58,1983.6,1955.85,1152.1,936.31,1424.03,664.63,678.05,1001.37,1025.9,1237.15,1491.56,670.44,904.97,851.45,812.03,1328.66,1495.34,1651.31,1840.82,1508.6,1107.6,293.08,276.44,1412.18,915.61,366.63,297.24,1974.08,306.19
2000-09,AM,204,21,9.71,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,475.07,701.57,499.58,622.7,921.6,523.37,1074.15,1117.42,1073.83,1145.73,594.13,380.67,368.43,776.0,1308.23,1556.33,1612.08,1615.68,1530.38,1876.35,1852.25,1051.05,807.57,1276.1,584.92,557.33,913.93,825.92,1109.18,1307.53,553.1,794.68,776.88,616.92,1074.72,1300.08,1412.32,1644.08,1260.8,1131.28,300.7,265.0,1337.23,893.43,347.72,301.15,1786.3,303.57
2000-10,AM,148,21,7.05,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,543.23,1010.77,670.09,698.55,1063.13,654.23,1064.1,1091.52,1014.5,883.56,711.63,445.16,485.92,822.39,975.16,1195.11,1191.6,1263.31,1203.52,1751.85,1711.45,939.68,733.48,1233.52,628.77,710.23,841.34,986.82,1031.56,1407.29,509.55,753.29,643.03,509.05,823.94,1187.53,1082.32,1367.83,930.0,1031.45,272.56,257.29,1279.98,902.05,354.9,308.58,1504.05,310.79
2000-11,AM,109,24,4.54,18.85,1545.6,107.2,-,-,-,-,-,-,-,-,-,-,-,376.77,951.42,598.99,536.28,761.83,460.17,795.62,910.73,809.72,772.97,806.17,766.58,594.02,1192.22,963.5,1103.05,1085.62,1136.43,1027.05,1631.82,1547.02,822.55,690.11,1177.07,553.57,574.27,759.33,969.65,915.13,1367.77,408.0,654.98,576.27,401.57,637.37,1155.63,948.05,1184.16,764.93,1321.23,375.82,274.98,1473.28,1006.73,455.95,475.43,1329.58,407.72
2000-12,AM,159,24,6.62,22.7,2179.0,234.8,-,-,-,-,-,-,-,-,-,-,-,564.95,1058.76,889.39,714.08,911.98,620.69,708.45,816.56,757.19,728.58,842.66,824.53,812.95,1321.39,1104.5,1121.87,1130.76,1100.77,933.44,1528.82,1542.0,765.34,664.48,1139.08,531.55,503.39,719.11,907.21,861.48,1316.0,353.4,604.94,439.65,352.71,534.79,1075.77,856.61,1162.95,688.73,1584.13,586.9,344.89,1740.16,1128.74,519.94,807.45,1295.02,560.21
2001-01,AM,6,5,1.2,6.2,6.2,6.2,-,-,-,359.41,30.73,21.89,89.04,0.38,92.69,435.41,0.58,810.37,1316.35,1331.27,953.63,1062.13,857.68,737.79,869.4,823.8,948.31,1459.53,1361.23,1119.02,1769.08,1367.68,1350.03,1323.59,1279.48,1149.02,1442.49,1543.48,716.35,593.96,1098.33,511.82,516.94,682.94,1041.61,832.82,1426.13,324.1,574.23,397.8,292.45,540.21,1028.6,1014.11,1345.65,855.81,1861.4,636.55,722.47,2018.19,1291.18,715.94,1043.82,1495.92,687.32
2001-02,AM,11,6,1.83,7.1,21.3,8.5,-,-,-,274.22,31.3,22.22,87.98,0.42,91.09,424.94,0.7,1070.23,1203.07,1523.96,1233.91,1118.29,1175.11,649.79,926.89,982.68,1237.44,1316.04,1491.86,1528.06,2200.25,1663.88,1619.22,1549.88,1573.25,1424.82,1448.25,1567.27,765.59,537.54,1087.45,541.98,554.79,719.41,1135.21,894.82,1524.11,417.43,664.62,334.95,377.19,776.45,1071.79,1288.5,1597.59,1130.41,2141.62,725.33,881.57,2341.2,1408.68,847.91,1167.16,1756.54,726.46
2001-03,AM,21,9,2.33,10.39,155.9,32.5,-,-,-,293.09,31.79,22.62,87.77,0.45,103.16,477.86,0.68,1093.24,1229.86,1394.83,1247.16,1123.92,1189.31,652.56,860.01,1141.56,1371.9,1643.98,1672.31,1509.3,2321.19,1924.43,1870.72,1760.08,1764.54,1585.69,1453.51,1546.59,736.25,540.28,1056.97,574.52,596.81,687.65,1095.61,849.26,1471.07,392.44,644.65,303.69,395.46,925.66,1168.08,1453.95,1747.52,1294.35,2296.87,717.02,796.69,2498.66,1548.1,991.24,1188.29,1906.29,830.35
2001-04,AM,3,3,1.0,9.95,19.9,13.7,-,-,-,269.02,31.89,22.75,87.75,0.45,98.95,463.2,0.72,1182.28,1503.1,1477.43,1322.05,1229.72,1252.4,936.25,1063.17,1300.44,1474.41,1594.95,1592.42,1573.64,2341.51,2062.53,2059.35,1951.6,1915.43,1737.29,1589.64,1574.24,822.68,594.53,1099.8,503.91,512.35,754.95,1174.18,945.7,1558.03,490.82,727.78,394.78,511.85,1082.46,1368.06,1598.3,1877.87,1442.55,2246.62,596.53,664.08,2571.53,1438.9,884.63,1070.46,2031.97,775.85
2001-05,AM,1,1,1.0,4.3,4.3,4.3,-,-,-,203.94,31.68,22.77,88.57,0.42,95.44,455.92,0.65,1225.95,1226.7,1576.37,1367.76,1243.26,1310.29,1123.56,1185.7,1352.69,1551.77,893.94,832.45,1340.02,1704.6,2050.76,2089.85,2018.62,1995.18,1825.15,1808.48,1930.34,1062.03,886.77,1418.29,837.98,911.36,943.94,1163.13,1172.34,1594.68,608.85,848.47,713.9,643.08,1213.05,1471.85,1691.1,1947.52,1533.6,2019.47,529.97,526.68,2376.4,1245.34,692.71,842.66,2089.52,589.97
2001-06,AM,7,3,2.33,5.0,10.0,6.1,-,-,-,168.42,30.41,21.12,88.28,0.39,82.19,402.47,0.68,1086.77,974.12,1247.44,1284.38,1252.0,1260.68,1203.85,1296.37,1442.83,1602.62,657.0,612.57,1039.22,1231.72,1978.43,2085.07,2044.56,2040.25,1875.32,1906.19,1939.87,1139.02,913.05,1421.13,648.45,702.32,1000.15,1168.92,1253.53,1612.85,707.84,944.14,834.0,793.03,1328.7,1535.82,1737.95,1967.38,1588.35,1736.82,437.15,405.12,2087.02,1124.68,571.0,653.17,2108.9,477.7
2001-07,AM,31,7,4.43,21.83,480.2,73.2,-,-,-,121.48,31.96,21.8,86.13,0.5,104.32,512.79,0.64,787.94,844.03,869.66,1003.61,1196.85,1007.5,1253.24,1279.7,1387.9,1550.5,620.27,500.02,752.52,1023.45,1828.47,1988.63,1966.58,1992.32,1836.36,1913.57,1967.08,1125.65,983.03,1458.59,700.42,745.19,990.61,999.89,1219.52,1464.98,639.69,878.68,763.84,761.79,1302.49,1513.24,1691.35,1906.73,1549.53,1393.47,351.33,331.6,1730.52,1008.7,456.18,428.94,2059.03,369.08
2001-08,AM,1111,46,24.15,35.81,20769.9,1210.8,-,-,-,64.9,33.99,22.19,80.5,0.75,126.13,603.42,0.6,493.31,717.33,571.19,677.26,1066.95,669.71,1111.66,1224.04,1263.41,1329.73,541.5,393.37,429.91,848.03,1523.11,1743.97,1729.98,1784.9,1656.58,1886.37,1762.93,1035.67,850.02,1321.82,587.94,591.76,913.54,984.73,1126.21,1436.23,582.69,824.65,873.02,662.45,1165.16,1386.11,1524.16,1750.64,1384.17,1169.76,310.35,283.31,1476.72,940.8,390.97,327.69,1909.71,308.71
2001-09,AM,549,35,15.69,21.31,7927.5,207.5,-,-,-,143.91,33.51,22.59,82.82,0.66,121.26,566.97,0.66,444.9,805.27,813.48,591.02,918.55,521.62,944.02,1007.07,1016.54,896.6,472.82,366.36,361.9,797.11,1085.08,1296.42,1294.03,1348.16,1267.98,1732.83,1641.3,917.95,756.73,1223.75,550.98,510.15,825.02,924.44,1003.58,1362.13,490.08,733.06,791.96,532.12,904.64,1214.07,1190.97,1489.38,1032.76,1019.02,310.65,264.96,1278.42,922.42,375.76,310.05,1673.04,302.13
2001-10,AM,963,42,22.93,25.7,15500.0,1175.3,-,-,-,150.14,34.33,23.42,81.14,0.76,129.75,586.92,0.7,391.55,838.7,741.47,525.34,765.94,419.92,844.03,898.16,769.67,624.11,601.97,435.27,496.58,856.45,770.54,935.31,912.13,953.47,892.37,1576.68,1463.04,735.42,704.69,1148.27,483.87,431.6,699.27,756.84,820.53,1196.5,324.74,580.84,515.83,361.1,583.55,1131.27,803.85,1097.16,639.76,1082.68,380.9,263.1,1297.56,931.89,385.23,314.55,1168.58,332.52
