Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media_Local_Fogo,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,PONTE_CACIPORE_30055000,COOPERATIVA_1._BRAÇO_30058000,CUNANI_30070000,TARTARUGAL_GRANDE_30075000,CAPIVARA_30080000,SERRA_DO_NAVIO_30300000
2000-01,AP,6.0,1.0,6.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,489.13,425.19,366.71,392.58,451.56,456.42
2000-02,AP,0.0,0.0,5.36,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,584.21,461.0,399.38,447.45,540.1,519.86
2000-03,AP,0.0,0.0,4.71,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,769.77,490.52,496.1,554.68,758.47,650.32
2000-04,AP,0.0,0.0,4.07,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,872.77,557.83,515.83,577.4,804.87,782.4
2000-05,AP,0.0,0.0,3.43,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,941.97,588.74,525.58,569.26,856.42,809.81
2000-06,AP,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,671.27,476.1,420.08,519.6,688.83,681.52
2000-07,AP,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,540.65,435.65,375.87,474.26,581.97,614.45
2000-08,AP,3.0,2.0,1.5,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,445.03,400.52,333.31,422.13,497.42,532.27
2000-09,AP,19.0,7.0,2.71,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,383.75,378.45,300.83,382.28,355.7,475.68
2000-10,AP,46.0,10.0,4.6,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,342.0,359.68,275.52,353.37,388.02,483.0
2000-11,AP,474.0,15.0,31.6,24.99,7421.7,268.1,-,-,-,-,-,-,-,-,-,-,-,220.23,346.95,246.5,345.3,346.75,416.58
2000-12,AP,109.0,12.0,9.08,16.57,1192.9,58.9,-,-,-,-,-,-,-,-,-,-,-,346.05,360.05,283.76,339.69,343.61,422.71
2001-01,AP,0.0,0.0,6.39,12.65,796.87,40.87,-,-,-,484.77,29.37,22.58,88.12,0.4,97.42,468.73,1.18,556.42,446.1,378.58,450.81,474.92,496.6
2001-02,AP,0.0,0.0,3.69,8.72,400.83,22.83,-,-,-,435.52,29.16,22.46,88.67,0.38,88.31,424.78,1.07,620.07,462.41,421.29,515.79,634.07,651.11
2001-03,AP,1.0,1.0,1.0,4.8,4.8,4.8,-,-,-,372.75,29.94,23.12,87.47,0.44,103.84,489.34,1.2,607.32,453.08,416.05,531.4,672.45,616.94
2001-04,AP,0.0,0.0,1.0,11.95,21.5,18.25,-,-,-,458.42,29.9,23.26,88.52,0.4,94.35,446.28,0.98,795.35,502.82,484.98,576.55,727.95,671.0
2001-05,AP,2.0,2.0,1.0,19.1,38.2,31.7,-,-,-,365.29,31.1,23.67,85.29,0.54,117.23,558.17,1.2,908.73,560.52,503.11,549.11,741.81,651.21
2001-06,AP,0.0,0.0,1.16,14.32,33.4,22.1,-,-,-,284.24,30.63,23.0,86.15,0.49,105.87,514.59,1.11,676.63,473.73,417.97,505.23,641.58,629.98
2001-07,AP,4.0,3.0,1.33,9.53,28.6,12.5,-,-,-,156.83,31.53,23.24,82.08,0.65,128.86,619.17,1.31,534.05,429.29,365.35,489.88,546.68,567.26
2001-08,AP,26.0,7.0,3.71,10.68,138.9,24.1,-,-,-,74.24,32.56,23.72,78.14,0.84,152.52,706.17,1.64,456.27,407.52,334.05,431.13,493.08,522.02
2001-09,AP,193.0,11.0,17.55,21.62,1859.2,88.4,-,-,-,36.05,32.84,23.65,76.17,0.91,152.55,683.71,1.81,381.15,374.98,295.28,383.6,404.48,481.5
2001-10,AP,456.0,16.0,28.5,27.23,6643.1,285.5,-,-,-,40.12,32.82,23.58,75.62,0.93,157.17,694.16,1.96,340.13,348.29,272.81,345.19,359.94,465.89
2001-11,AP,1214.0,16.0,75.88,24.04,18651.7,519.1,-,-,-,32.34,32.85,23.74,74.4,0.98,148.52,646.18,1.97,319.53,342.6,251.83,331.49,352.81,447.13
2001-12,AP,1502.0,15.0,100.13,24.27,20754.6,426.8,-,-,-,74.59,32.6,24.2,76.81,0.9,145.77,613.49,2.43,307.9,333.0,248.9,310.68,317.67,389.79
2002-01,AP,14.0,4.0,3.5,13.84,96.9,23.2,-,-,-,353.06,30.61,23.02,85.17,0.53,108.83,504.29,1.51,413.22,383.81,330.58,366.75,380.69,461.23
2002-02,AP,2.0,2.0,1.0,17.02,0.0,25.48,-,-,-,434.35,30.42,22.95,86.42,0.48,100.18,468.11,1.62,597.88,439.86,443.79,464.47,509.77,593.02
