Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media_Local_Fogo,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,GARGANTA_16430000,CARAMUJO_16460000,CACH_DA_PORTEIRA_-_CONJ_1_16650000,ÓBIDOS_-_LINIGRAFO_17050001,BOCA_DO_INFERNO_17090000,SANTARÉM_17900000,ARAPARI_18200000,URUARÁ_18250000,PORTO_DE_MOZ_18950003,PACAJÁS_19985000,CONCEIÇÃO_DO_ARAGUAIA_27500000,MARABÁ_29050000,BOM_JARDIM_31520000,FAZENDA_MARINGA_31680000,BADAJÓS_31700000,NOVA_MOCAJUBA_32350000,JAPIIM_32420000,TARARUA_-_PONTE_32450002,FAZENDA_RURAL_ZEBU_32540000,CAFEZAL_32550000,ALTO_BONITO_32620000
2000-01,PA,31,17,1.82,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,629.03,1423.94,467.68,297.16,542.77,307.32,582.1,459.97,242.65,549.87,643.82,986.32,174.26,748.19,567.81,550.68,371.9,506.0,594.52,353.84,463.16
2000-02,PA,32,16,2.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,650.34,1434.1,551.86,429.24,547.34,447.14,579.62,510.28,297.38,645.14,757.88,1043.17,185.83,791.24,607.59,611.07,376.14,436.48,559.48,408.48,478.83
2000-03,PA,181,21,8.62,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,788.16,1594.77,795.87,550.97,899.29,564.87,847.73,579.55,346.03,737.32,850.76,1186.29,233.0,963.21,726.71,636.45,393.55,482.68,616.39,510.18,574.42
2000-04,PA,40,13,3.08,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,953.67,1810.27,1117.3,664.9,1177.83,658.67,964.03,642.77,385.07,740.57,873.98,1101.77,274.57,1010.42,804.4,660.18,420.3,557.0,856.33,561.08,721.63
2000-05,PA,12,11,1.09,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,1091.48,2021.71,1367.39,738.45,1247.84,709.42,970.48,564.23,383.06,639.55,692.23,886.61,276.9,1012.11,810.03,654.56,422.9,547.55,743.98,528.06,701.77
2000-06,PA,62,17,3.65,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,962.23,1818.2,1222.37,741.1,878.63,697.2,768.53,480.97,368.7,530.47,373.08,521.97,212.67,838.9,697.53,626.78,348.1,335.6,582.42,352.8,438.67
2000-07,PA,437,27,16.19,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,804.58,1633.87,975.03,711.48,724.29,664.42,716.13,479.52,338.82,506.19,284.34,406.03,214.16,746.71,611.16,614.5,375.48,432.19,506.47,291.56,436.0
2000-08,PA,5845,71,82.32,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,719.9,1521.74,789.23,647.26,577.82,607.9,553.76,397.05,317.15,444.37,248.23,307.24,129.23,653.81,542.1,577.81,311.82,256.1,463.11,216.58,353.98
2000-09,PA,2707,81,33.42,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,627.65,1421.77,604.08,521.03,461.25,499.3,433.85,369.48,263.15,416.68,239.08,261.6,79.33,589.27,466.62,529.68,268.18,170.05,438.58,172.23,262.6
2000-10,PA,4525,97,46.65,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,574.27,1361.21,433.53,334.16,415.74,346.85,385.48,346.82,228.32,394.76,241.81,268.98,54.29,545.44,427.6,491.35,248.58,136.71,414.48,158.39,248.77
2000-11,PA,7013,125,56.1,26.88,89655.9,1593.2,-,-,-,-,-,-,-,-,-,-,-,524.53,1317.95,345.3,235.18,397.07,263.87,363.97,353.92,174.08,379.95,286.93,383.43,37.3,511.55,390.3,464.4,222.48,104.65,395.88,140.37,224.9
2000-12,PA,4098,110,37.25,27.29,59895.7,761.8,-,-,-,-,-,-,-,-,-,-,-,429.61,1253.03,264.08,207.13,373.74,250.73,333.55,340.87,194.92,403.77,451.79,664.85,41.89,518.53,385.94,464.11,230.92,113.61,416.79,151.45,231.08
2001-01,PA,58,24,2.42,10.15,233.4,26.8,-,-,-,381.55,30.44,22.25,87.3,0.44,103.2,486.69,1.08,582.79,1381.27,442.89,323.79,402.29,355.24,386.29,440.29,233.1,540.85,615.77,776.63,86.44,635.73,468.65,537.82,286.77,221.11,459.58,217.63,308.56
2001-02,PA,32,15,2.13,20.31,304.6,107.9,-,-,-,372.41,30.35,22.13,88.22,0.4,93.16,441.51,1.01,621.89,1500.38,567.27,496.59,470.39,477.27,534.99,524.79,318.04,624.49,598.21,798.98,222.04,770.91,628.41,645.12,385.55,478.79,554.91,431.0,542.59
2001-03,PA,5,5,1.0,8.08,40.4,11.0,-,-,-,391.52,30.59,22.55,88.42,0.41,104.46,493.3,1.02,659.48,1524.84,693.63,611.24,566.26,598.71,581.36,570.94,354.71,691.67,614.21,917.1,250.94,876.15,699.82,665.35,409.62,553.73,737.73,527.5,680.39
2001-04,PA,3,3,1.0,8.43,25.3,10.6,-,-,-,371.25,30.84,22.64,88.04,0.42,99.15,472.07,0.9,789.97,1600.83,907.83,706.32,1048.37,691.23,918.24,563.11,389.43,753.96,608.37,955.17,328.67,1019.88,805.07,708.68,472.72,634.98,752.78,635.33,753.65
2001-05,PA,21,12,1.75,23.16,324.3,132.6,-,-,-,199.92,32.03,23.05,85.06,0.55,116.24,554.34,1.1,870.49,1704.24,1060.29,731.57,834.4,698.16,738.09,500.31,372.58,579.15,431.37,673.23,284.94,1066.69,871.48,652.39,404.13,483.6,873.13,512.19,695.09
2001-06,PA,72,23,3.13,17.05,409.1,50.8,-,-,-,192.36,31.67,22.17,83.67,0.58,107.37,520.25,1.08,845.47,1671.18,999.87,721.18,662.68,678.2,646.8,446.56,340.23,574.55,324.52,498.82,193.58,820.23,681.43,609.33,374.38,462.26,599.43,362.55,504.22
2001-07,PA,1160,54,21.48,23.11,9611.8,497.8,-,-,-,107.79,32.27,21.97,79.93,0.72,127.37,615.03,1.25,769.4,1581.18,877.69,679.31,569.19,636.44,561.87,393.35,331.0,491.4,254.97,380.13,154.81,708.82,594.98,605.53,342.18,313.64,494.26,286.48,425.94
2001-08,PA,17231,92,187.29,37.3,281401.3,1603.0,-,-,-,41.61,33.2,22.06,73.84,0.97,148.82,686.7,1.49,679.73,1482.79,690.16,572.16,463.52,541.81,437.45,350.15,265.24,423.16,224.21,280.6,81.71,605.08,494.82,545.16,275.5,183.6,440.97,197.4,285.68
2001-09,PA,10098,103,98.04,26.4,95311.9,772.9,-,-,-,72.7,33.24,22.79,75.54,0.93,144.26,645.07,1.58,614.55,1405.54,503.87,393.88,428.5,395.03,399.42,398.88,240.15,401.93,211.32,249.12,59.73,555.18,441.22,510.35,258.03,147.62,416.32,165.45,255.48
2001-10,PA,9017,126,71.56,27.4,98372.3,1621.6,-,-,-,77.99,33.18,23.11,76.25,0.91,147.26,645.67,1.65,516.6,1313.3,314.63,180.79,451.65,221.42,348.67,330.73,181.73,387.54,230.6,261.97,42.87,506.52,402.08,475.92,233.23,118.18,405.84,144.9,233.32
2001-11,PA,9654,126,76.62,30.67,135140.7,4336.2,-,-,-,79.69,33.02,23.43,76.4,0.91,137.61,595.61,1.65,465.13,1283.47,261.23,101.53,371.77,157.65,324.26,312.82,146.22,384.58,299.97,345.38,35.07,486.56,375.93,462.27,226.08,112.13,384.6,139.8,226.59
2001-12,PA,5409,116,46.63,28.27,76451.2,814.0,-,-,-,108.12,32.76,23.68,78.75,0.82,135.5,584.14,1.73,388.94,1227.3,216.08,177.11,351.72,223.03,299.53,309.67,153.79,450.28,500.41,602.6,26.16,508.97,384.35,449.63,221.69,107.24,389.77,129.15,220.17
2002-01,PA,265,57,4.65,15.57,1759.1,64.2,-,-,-,311.27,30.94,22.73,85.8,0.51,108.02,498.79,1.17,449.4,1259.83,391.6,381.49,374.19,402.94,322.16,420.39,195.61,595.93,759.1,1078.98,67.92,630.73,457.56,520.28,288.17,225.33,529.78,268.35,341.81
2002-02,PA,186,40,4.65,11.75,775.7,32.5,-,-,-,259.69,31.35,22.91,84.83,0.55,107.54,498.41,1.23,492.27,1282.16,476.61,455.52,388.54,468.14,357.19,415.66,286.88,609.34,882.52,1095.89,130.27,675.46,516.84,598.72,357.23,435.29,524.69,292.45,452.37
2002-03,PA,17,13,1.31,9.63,28.9,11.8,-,-,-,338.68,31.07,22.71,86.61,0.48,107.91,501.36,1.06,646.7,1441.47,641.35,559.84,489.06,556.85,494.51,424.25,323.65,617.37,913.79,1029.09,247.13,747.45,550.06,645.56,421.27,552.29,661.6,408.42,601.44
2002-04,PA,17,6,2.83,9.32,46.6,15.3,-,-,-,351.42,31.17,22.78,86.43,0.49,102.52,482.42,0.99,744.95,1583.9,824.18,644.93,823.92,625.74,825.25,473.85,351.38,717.79,777.68,998.02,326.93,954.38,663.15,669.53,424.23,580.17,919.07,636.53,774.85
2002-05,PA,46,21,2.19,14.99,389.8,46.8,-,-,-,229.76,31.86,23.12,84.33,0.58,113.71,538.45,1.13,827.4,1642.23,961.02,695.21,660.41,657.45,723.35,435.04,343.63,602.87,507.52,686.96,255.19,783.88,678.19,656.59,383.85,449.68,721.31,489.94,657.19
2002-06,PA,277,36,7.69,39.9,4827.7,1038.7,-,-,-,150.92,32.05,22.41,81.32,0.68,113.61,545.91,1.12,794.12,1608.5,931.4,719.62,603.29,671.42,708.72,411.22,335.15,501.08,333.82,527.78,187.4,646.15,541.72,633.88,358.14,351.48,538.93,348.57,449.22
2002-07,PA,2732,112,24.39,51.63,102581.2,3768.9,-,-,-,79.97,32.53,22.76,78.72,0.79,130.64,622.08,1.31,689.49,1498.48,814.0,700.61,506.09,647.47,521.7,350.94,309.39,449.63,271.85,364.03,128.32,548.85,445.23,596.85,316.03,265.08,454.85,232.19,333.32
2002-08,PA,56116,130,431.66,86.27,3037790.7,7342.9,-,-,-,54.62,33.3,22.69,74.58,0.96,148.37,681.88,1.49,597.46,1393.29,683.79,629.56,420.41,584.68,414.71,326.63,292.32,399.81,241.68,245.14,90.81,503.94,403.15,556.91,285.85,200.1,411.19,199.94,283.27
