Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,CABIXI_15124009,PIMENTEIRAS_15130000,PEDRAS_NEGRAS_15150000,PRINCIPE_DA_BEIRA_15200000,BOCA_DO_POMPEU_-_JUSANTE_15248010,GUAJARÁ-MIRIM_15250000,PORTO_VELHO_15400000,FAZENDA_FLOR_DO_CAMPO_15552600,PIMENTA_BUENO_15558000,JIPARANÁ_15560000
2000-01,RO,0.0,0.0,-,-,-,-,-,-,316.57,31.27,21.59,86.79,0.46,106.77,500.46,0.6,364.24,479.65,434.63,714.29,440.45,842.08,1060.13,342.95,644.95,875.55
2000-02,RO,6.0,5.0,1.2,-,0.0,-,-,-,218.69,30.83,21.86,88.41,0.4,94.63,444.0,0.59,400.71,570.22,514.88,879.64,472.67,935.24,1267.1,358.66,667.72,909.64
2000-03,RO,9.0,3.0,3.0,-,0.0,-,-,-,261.41,31.06,21.72,88.35,0.4,96.37,454.02,0.56,407.32,664.65,611.73,1043.39,478.71,1011.23,1403.74,399.92,723.87,933.05
2000-04,RO,0.0,0.0,3.2,-,0.0,-,-,-,129.97,31.46,21.79,87.46,0.44,97.88,477.48,0.49,389.87,653.53,683.12,1119.0,440.1,1033.35,1316.88,340.45,596.1,818.85
2000-05,RO,17.0,5.0,3.4,-,0.0,-,-,-,26.39,31.71,20.71,85.14,0.51,95.66,483.86,0.52,292.13,546.48,638.29,1049.58,403.47,916.34,1044.73,293.29,471.74,727.19
2000-06,RO,56.0,14.0,4.0,-,0.0,-,-,-,7.45,31.28,19.45,82.19,0.58,88.3,458.42,0.56,239.83,426.6,542.65,755.47,259.35,755.68,842.0,273.22,419.7,678.27
2000-07,RO,131.0,27.0,4.85,-,0.0,-,-,-,28.03,31.08,17.52,78.05,0.66,96.1,510.78,0.62,226.32,373.44,371.32,518.61,168.19,680.21,604.06,266.68,397.79,656.35
2000-08,RO,2275.0,52.0,43.75,-,0.0,-,-,-,44.25,33.27,19.65,78.37,0.76,112.38,563.37,0.46,214.79,346.16,303.06,377.84,125.37,617.89,417.94,261.31,390.03,650.79
2000-09,RO,2565.0,52.0,49.33,-,0.0,-,-,-,103.97,32.58,20.56,80.49,0.68,109.53,524.04,0.56,219.63,314.55,254.31,443.03,106.23,606.77,460.72,260.01,380.68,644.33
2000-10,RO,673.0,46.0,14.63,-,0.0,-,-,-,186.47,32.69,21.61,82.57,0.64,110.97,514.2,0.51,236.02,308.6,236.82,405.11,120.15,592.48,345.0,266.26,420.81,662.11
2000-11,RO,92.0,26.0,3.54,19.04,1504.2,251.6,-,-,213.31,31.37,21.81,86.07,0.49,104.87,486.49,0.76,238.15,364.97,317.84,457.65,190.68,647.68,649.33,286.9,462.43,736.93
