Data,UF,Total_Focos,Qtd_Municipios_Com_Fogo,Media_Focos_Mun_Com_Fogo,FRP_Medio,FRP_Soma,FRP_Maximo,Risco_Fogo_Medio,Dias_Secos_Medio,Precipitacao_Media_Local_Fogo,Precipitacao_Media,Temp_Max_Media,Temp_Min_Media,Umidade_Relativa_Media,VPD_Medio,Evapotranspiracao_Media,Radiacao_Solar_Media,Velocidade_Vento_Media,MISSÃO_AUARIS_-_JUSANTE_14485010,FAZENDA_CAJUPIRANGA_14495000,FAZENDA_PASSARÃO_14515000,BOM_FIM_14526000,MALOCA_DO_CONTÃO_14550000,BOA_VISTA_14620000,POSTO_FUNAÍ_14650000,FÉ_E_ESPERANÇA_14680001,CARACARAI_14710000,MISSÃO_CATRIMANI_14750000,SANTA_MARIA_DO_BOIAÇU_14790000
2000-01,RR,20.0,6.0,3.33,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,335.84,545.9,669.55,411.05,205.76,209.06,508.92,298.9,223.61,553.26,491.69
2000-02,RR,59.0,13.0,4.54,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,319.84,594.91,679.91,326.09,198.16,202.78,498.17,288.66,210.24,526.59,483.0
2000-03,RR,147.0,14.0,10.5,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,308.73,572.55,680.15,279.34,167.24,184.9,498.26,293.03,188.66,569.24,507.29
2000-04,RR,0.0,0.0,6.12,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,355.83,689.27,824.95,458.02,253.6,337.25,571.72,383.52,391.38,705.55,737.32
2000-05,RR,7.0,4.0,1.75,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,423.94,771.84,939.76,940.18,257.58,497.77,609.65,471.71,601.82,815.82,987.55
2000-06,RR,0.0,0.0,1.77,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,508.9,902.6,1098.07,907.9,357.23,680.27,673.08,577.95,819.68,874.35,1228.87
2000-07,RR,0.0,0.0,1.78,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,497.6,876.52,1053.85,733.6,323.15,601.77,633.61,489.23,721.5,825.32,1205.74
2000-08,RR,9.0,5.0,1.8,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,468.03,782.66,927.76,668.23,262.79,477.55,580.87,400.61,591.77,751.37,1071.4
2000-09,RR,12.0,2.0,6.0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,419.23,664.82,832.9,469.22,209.52,291.22,561.22,356.57,342.62,657.2,779.22
2000-10,RR,25.0,7.0,3.57,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,374.85,618.63,722.16,391.34,222.73,245.48,532.03,326.77,285.24,590.27,684.63
