Ano,1.1 - Açaí (fruto),1.2 - Castanha-de-caju,1.3 - Castanha-do-pará,1.4 - Erva-mate,1.5 - Mangaba (fruto),1.6 - Palmito,1.7 - Pequi (fruto),1.8 - Pinhão,1.9 - Umbu (fruto),1.10 - Outros,2.1 - Ipecacuanha ou poaia (raiz),2.2 - Jaborandi (folha),2.3 - Urucum (semente),2.4 - Outros,3.1 - Caucho,3.2 - Hevea (látex coagulado),3.3 - Hevea (látex líquido),4.1 - Carnaúba (cera),4.2 - Carnaúba (pó),4.3 - Outras,5.1 - Buriti,5.2 - Carnaúba,5.3 - Piaçava,5.4 - Outras,6.1 - Balata,6.2 - Maçaranduba,6.3 - Sorva,8.1 - Babaçu (amêndoa),8.2 - Copaíba (óleo),8.3 - Cumaru (amêndoa),8.4 - Licuri (coquilho),8.5 - Oiticica (semente),8.6 - Pequi (amêndoa),8.7 - Tucum (amêndoa),8.8 - Outros,10.1 - Angico (casca),10.2 - Barbatimão (casca),10.3 - Outros
2000,431,0,8249,0,0,0,-,0,0,-,0,0,0,0,0,2786,0,0,0,-,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0
2001,542,0,5924,0,0,0,-,0,0,-,0,0,0,0,0,2395,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,808,0,6674,0,0,0,-,0,0,-,0,0,0,0,0,1602,0,0,0,-,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2003,782,0,5662,0,0,0,-,0,0,-,0,0,0,0,0,1490,0,0,0,-,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2004,741,0,5859,0,0,0,-,0,0,-,0,0,0,0,0,1710,0,0,0,-,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,906,0,11141,0,0,0,-,0,0,-,0,0,0,0,0,2073,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2006,960,0,10217,0,0,0,-,0,0,-,0,0,0,0,0,1408,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2007,1459,0,10379,0,0,0,-,0,0,-,0,0,0,0,0,1226,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2008,1537,0,11522,0,0,0,-,0,0,-,0,0,0,0,0,846,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2009,1659,0,10312,0,0,0,-,0,0,-,0,0,0,0,0,532,69,0,0,0,356,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0
2010,1674,0,12362,0,0,0,-,0,0,-,0,0,0,0,0,506,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0
2011,1702,0,14036,0,0,0,-,0,0,167,0,0,0,0,0,500,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0
2012,1621,0,14088,0,0,0,-,0,0,151,0,0,0,0,0,328,143,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,82,0,0,0
2013,3049,0,13599,0,0,0,-,0,0,245,0,0,0,0,0,237,158,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0
2014,4020,0,13684,0,0,0,0,0,0,526,0,0,0,0,0,115,93,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0
2015,5453,0,14038,0,0,0,0,0,0,544,0,0,0,0,0,80,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
2016,4460,0,8743,0,0,0,0,0,0,436,0,0,0,0,0,102,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,4665,0,4791,0,0,0,0,0,0,393,0,0,0,0,0,179,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,4547,0,7681,0,0,0,0,0,0,383,0,0,0,0,0,191,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,4737,0,7297,0,0,0,0,0,0,408,0,0,0,0,0,220,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4655,0,6769,0,0,0,0,0,0,401,0,0,0,0,0,318,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,4521,0,8931,0,0,0,0,0,0,471,0,0,0,0,0,364,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,4428,0,9145,0,0,0,0,0,0,576,0,0,0,0,0,390,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4031,0,9474,0,0,0,0,0,0,577,0,0,0,0,0,751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,4143,0,9945,0,0,0,0,0,0,574,0,0,0,0,0,770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
