Ano,1.1 - Açaí (fruto),1.2 - Castanha-de-caju,1.3 - Castanha-do-pará,1.4 - Erva-mate,1.5 - Mangaba (fruto),1.6 - Palmito,1.7 - Pequi (fruto),1.8 - Pinhão,1.9 - Umbu (fruto),1.10 - Outros,2.1 - Ipecacuanha ou poaia (raiz),2.2 - Jaborandi (folha),2.3 - Urucum (semente),2.4 - Outros,3.1 - Caucho,3.2 - Hevea (látex coagulado),3.3 - Hevea (látex líquido),4.1 - Carnaúba (cera),4.2 - Carnaúba (pó),4.3 - Outras,5.1 - Buriti,5.2 - Carnaúba,5.3 - Piaçava,5.4 - Outras,6.1 - Balata,6.2 - Maçaranduba,6.3 - Sorva,8.1 - Babaçu (amêndoa),8.2 - Copaíba (óleo),8.3 - Cumaru (amêndoa),8.4 - Licuri (coquilho),8.5 - Oiticica (semente),8.6 - Pequi (amêndoa),8.7 - Tucum (amêndoa),8.8 - Outros,10.1 - Angico (casca),10.2 - Barbatimão (casca),10.3 - Outros
2000,931,0,7823,0,0,0,-,0,2,-,0,0,0,0,0,1747,0,2,0,-,1,0,7880,2,0,4,38,0,380,0,0,0,0,14,0,0,0,0
2001,999,0,8352,0,0,0,-,0,2,-,0,0,0,0,0,1832,0,3,0,-,1,0,8262,2,0,4,39,1,397,0,0,0,0,14,0,0,0,0
2002,1101,0,8984,0,0,0,-,0,2,-,0,0,0,0,0,2011,0,4,0,-,1,0,8644,2,0,5,43,1,425,0,0,0,0,15,0,0,0,0
2003,1138,0,9066,0,0,0,-,0,2,-,0,0,0,0,0,1948,0,4,0,-,1,0,8689,2,0,5,43,1,427,0,0,0,0,15,0,0,0,0
2004,1135,0,9148,0,0,0,-,0,2,-,0,0,0,0,0,1960,0,4,0,-,1,0,8735,2,0,5,43,11,429,0,0,0,0,15,0,0,0,0
2005,1150,0,8983,0,0,0,-,0,2,-,0,0,0,0,0,2007,0,4,0,0,1,0,8948,2,0,5,44,11,434,0,0,0,0,15,0,0,0,0
2006,1176,0,9163,0,0,0,-,0,2,-,0,0,0,0,0,2043,0,4,0,0,1,0,9127,2,0,5,45,11,442,0,0,0,0,16,0,0,0,0
2007,1223,0,8871,0,0,0,-,0,2,-,0,0,0,0,0,2109,0,4,0,0,1,0,9402,0,0,5,33,11,456,0,0,0,0,16,2,0,0,0
2008,1275,0,9111,0,0,0,-,0,2,-,0,0,0,0,0,2161,0,0,0,0,1,0,9695,5,0,5,35,12,468,0,0,0,0,18,3,0,0,0
2009,1576,0,16014,0,0,0,-,0,2,-,0,0,0,0,0,2191,0,0,0,0,1,0,1681,413,0,5,36,12,479,0,0,0,0,18,10,0,0,0
2010,3257,0,16040,0,0,0,-,0,2,-,0,0,0,0,0,2331,0,0,0,0,0,0,2230,332,0,5,2,12,538,0,0,0,0,16,238,0,0,0
2011,89480,0,14662,0,0,0,-,0,2,0,0,0,0,0,0,2018,0,0,0,0,0,0,2040,233,0,0,1,9,168,0,0,0,0,13,239,0,0,0
2012,71146,0,10479,0,0,0,-,0,0,82,0,0,0,2,0,1488,0,0,0,0,0,0,2209,275,0,0,1,6,95,3,0,0,0,0,86,0,0,0
2013,71783,0,11787,0,0,0,-,0,0,45,0,0,0,2,0,1281,0,0,0,0,2,0,2140,299,0,0,0,6,119,2,0,0,0,0,77,0,0,0
2014,66642,0,12903,0,0,0,0,0,0,48,0,0,0,2,0,1051,0,0,0,0,2,0,2165,181,0,0,1,5,124,14,0,0,0,0,64,0,0,0
2015,65640,0,13983,0,0,0,0,0,0,45,0,0,0,2,0,1084,0,0,0,0,5,0,1763,163,0,0,1,3,126,15,0,0,0,0,79,0,0,0
2016,57573,0,15185,0,0,0,0,0,0,69,0,0,0,2,0,867,0,0,0,0,1,0,2654,190,0,0,1,0,141,18,0,0,0,0,178,0,0,0
2017,50504,0,10013,0,0,0,0,0,0,321,0,0,0,0,0,620,0,0,0,0,1,0,1858,183,0,0,1,0,141,19,0,0,0,0,185,0,0,0
2018,47412,0,12163,0,0,0,0,0,0,1401,0,0,0,0,0,445,0,0,0,0,23,0,1602,11,0,0,1,0,135,22,0,0,0,0,139,0,0,0
2019,43856,0,12183,0,0,0,0,0,0,1872,0,0,0,0,0,389,0,0,0,217,14,0,1786,12,0,0,1,0,133,33,0,0,0,0,82,0,0,0
2020,43736,0,11709,0,0,0,0,0,0,1730,0,0,0,0,0,393,0,0,0,202,14,0,2433,7,0,0,1,0,136,28,0,0,0,0,173,0,0,0
2021,45209,0,11738,0,0,0,0,0,0,2233,0,0,0,0,0,375,0,0,0,174,14,0,2456,8,0,0,1,0,140,35,0,0,0,25,144,0,0,0
2022,53732,0,14306,0,0,0,0,0,0,3287,0,0,0,0,0,313,0,0,0,103,13,0,2008,9,0,0,1,0,192,37,0,0,0,28,81,0,0,0
2023,43878,0,11292,0,0,0,2,0,0,3020,0,0,0,0,0,354,0,0,0,144,16,0,2005,14,0,0,0,0,236,35,0,0,0,28,179,0,0,0
2024,52547,0,11573,0,0,0,2,0,0,3470,0,0,0,0,0,532,0,0,0,120,19,0,5039,12,0,0,0,0,239,33,0,0,0,0,316,0,0,0
