Ano,1.1 - Açaí (fruto),1.2 - Castanha-de-caju,1.3 - Castanha-do-pará,1.4 - Erva-mate,1.5 - Mangaba (fruto),1.6 - Palmito,1.7 - Pequi (fruto),1.8 - Pinhão,1.9 - Umbu (fruto),1.10 - Outros,2.1 - Ipecacuanha ou poaia (raiz),2.2 - Jaborandi (folha),2.3 - Urucum (semente),2.4 - Outros,3.1 - Caucho,3.2 - Hevea (látex coagulado),3.3 - Hevea (látex líquido),4.1 - Carnaúba (cera),4.2 - Carnaúba (pó),4.3 - Outras,5.1 - Buriti,5.2 - Carnaúba,5.3 - Piaçava,5.4 - Outras,6.1 - Balata,6.2 - Maçaranduba,6.3 - Sorva,8.1 - Babaçu (amêndoa),8.2 - Copaíba (óleo),8.3 - Cumaru (amêndoa),8.4 - Licuri (coquilho),8.5 - Oiticica (semente),8.6 - Pequi (amêndoa),8.7 - Tucum (amêndoa),8.8 - Outros,10.1 - Angico (casca),10.2 - Barbatimão (casca),10.3 - Outros
2000,112684,805,8939,0,0,15998,-,0,0,-,0,54,0,1,0,197,168,0,0,-,295,0,0,1,0,0,0,20,11,11,0,0,305,0,7,0,0,4
2001,113748,8,6975,0,0,14475,-,0,0,-,0,27,50,700,0,59,26,0,0,-,304,0,0,1,0,0,0,17,12,38,1,0,348,1,308,0,0,5
2002,122328,15,5771,0,0,13430,-,0,0,-,0,19,1,802,0,70,25,0,0,-,296,0,0,1,0,0,0,18,13,18,1,0,324,1,265,0,0,4
2003,134840,16,5363,0,0,12585,-,0,0,-,0,19,2,626,0,230,25,0,0,-,289,0,0,10,0,0,0,17,25,97,11,0,308,1,268,0,0,4
2004,90516,24,7643,0,0,11387,-,0,181,-,0,29,0,2,0,316,19,0,0,-,280,0,0,8,0,0,0,17,19,88,13,0,275,1,33,0,0,4
2005,92095,17,6812,0,0,7390,-,0,0,-,0,10,0,2,0,262,8,0,0,0,262,0,0,8,0,0,0,24,31,110,14,0,305,1,62,0,0,4
2006,88551,25,5293,0,0,6060,-,0,0,-,0,10,0,3,0,267,8,0,0,0,260,0,0,7,0,0,0,25,23,90,13,0,356,1,13,0,0,5
2007,93788,46,7640,0,0,5563,-,0,0,-,0,2,0,3,0,191,8,0,0,0,249,0,0,6,0,0,0,28,32,99,1,0,375,1,15,0,0,5
2008,107031,47,6205,0,0,5609,-,0,0,-,0,2,0,4,0,220,7,0,0,0,251,0,0,7,0,0,0,32,23,86,1,0,424,1,13,0,0,4
2009,101376,50,7020,0,0,4897,-,0,0,-,0,2,0,4,0,262,1,0,0,0,254,0,0,2,0,0,0,33,41,96,1,0,416,1,11,0,0,4
2010,106567,53,8130,0,0,4774,-,0,0,-,0,30,0,4,0,139,0,0,0,0,255,0,0,1,0,0,0,28,26,95,0,0,420,1,11,0,0,2
2011,109348,55,7196,0,0,4849,-,0,0,0,0,33,0,96,0,18,0,0,0,0,253,0,0,47,0,0,0,31,29,102,0,0,432,1,13,0,0,1
2012,110940,57,10452,0,0,4646,-,0,0,0,0,35,0,0,0,127,0,0,0,0,258,0,0,49,0,0,0,28,24,91,0,0,442,1,128,0,0,2
2013,111077,54,9026,0,0,4359,-,0,0,1,0,34,0,0,0,117,0,0,0,0,257,0,0,52,0,0,0,26,23,88,0,0,471,1,139,0,0,3
2014,109766,51,6908,0,0,4118,0,0,0,356,0,35,0,0,0,110,0,0,0,0,258,0,0,56,0,0,0,27,30,90,0,0,475,1,148,0,0,3
2015,126034,50,7968,0,0,4144,1,0,0,354,0,36,0,0,0,108,0,0,0,0,264,0,0,56,2,0,0,15,15,81,0,0,442,11,144,0,0,2
2016,131840,53,6867,0,0,3831,4,0,0,480,0,35,0,1,0,60,0,0,0,0,261,0,0,58,2,0,0,15,12,127,0,0,453,10,160,0,0,0
2017,141918,49,4192,0,0,3838,5,0,0,496,0,36,0,1,0,52,0,0,0,0,257,0,0,57,0,0,0,16,19,117,0,0,464,36,168,0,0,0
2018,147734,46,7728,0,0,3640,5,0,0,1646,0,35,0,0,0,53,0,0,0,0,264,0,0,0,0,0,0,13,16,135,0,0,441,1,18,0,0,0
2019,151792,62,6977,0,0,3609,5,0,0,2510,0,36,0,0,0,46,0,0,0,0,250,0,0,5,0,0,0,15,14,91,0,0,420,1,34,0,0,0
2020,149673,56,8647,0,0,3611,4,0,0,2697,0,36,0,0,0,40,0,0,0,0,271,0,0,5,0,0,0,12,12,87,0,0,346,1,38,0,0,0
2021,154439,54,5924,0,0,3609,3,0,0,2431,0,38,0,0,0,35,0,0,0,0,272,0,0,6,0,0,0,13,13,79,0,0,320,1,55,0,0,0
2022,164902,47,8808,0,0,3425,3,0,0,2769,0,50,0,0,0,35,0,0,0,0,271,0,0,6,0,0,0,10,15,99,0,0,331,1,34,0,0,0
2023,167626,44,9394,0,0,3230,7,0,0,2282,0,0,0,0,0,19,0,0,0,0,271,0,0,5,0,0,0,15,13,90,0,0,322,1,56,0,0,0
2024,168530,40,8721,0,0,3170,8,0,0,2659,0,0,0,0,0,9,0,0,0,0,272,0,0,5,0,0,0,15,12,155,0,0,270,1,83,0,0,0
