Ano,1.1 - Açaí (fruto),1.2 - Castanha-de-caju,1.3 - Castanha-do-pará,1.4 - Erva-mate,1.5 - Mangaba (fruto),1.6 - Palmito,1.7 - Pequi (fruto),1.8 - Pinhão,1.9 - Umbu (fruto),1.10 - Outros,2.1 - Ipecacuanha ou poaia (raiz),2.2 - Jaborandi (folha),2.3 - Urucum (semente),2.4 - Outros,3.1 - Caucho,3.2 - Hevea (látex coagulado),3.3 - Hevea (látex líquido),4.1 - Carnaúba (cera),4.2 - Carnaúba (pó),4.3 - Outras,5.1 - Buriti,5.2 - Carnaúba,5.3 - Piaçava,5.4 - Outras,6.1 - Balata,6.2 - Maçaranduba,6.3 - Sorva,8.1 - Babaçu (amêndoa),8.2 - Copaíba (óleo),8.3 - Cumaru (amêndoa),8.4 - Licuri (coquilho),8.5 - Oiticica (semente),8.6 - Pequi (amêndoa),8.7 - Tucum (amêndoa),8.8 - Outros,10.1 - Angico (casca),10.2 - Barbatimão (casca),10.3 - Outros
2000,0,0,6511,0,0,52,-,0,0,-,0,0,0,0,0,276,0,0,0,-,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
2001,0,0,5482,0,0,50,-,0,0,-,0,0,0,0,0,68,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,4387,0,0,59,-,0,0,-,0,0,0,0,0,64,0,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2003,26,0,3357,0,0,60,-,0,0,-,0,0,0,0,0,203,0,0,0,-,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2004,25,0,2830,0,0,65,-,0,0,-,0,0,0,0,0,206,0,0,0,-,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2005,65,0,2711,0,0,54,-,0,0,-,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2006,57,0,2651,0,0,55,-,0,0,-,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2007,133,0,2105,0,0,77,-,0,0,-,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2008,311,0,1926,0,0,67,-,0,0,-,0,0,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
2009,347,0,2105,0,0,70,-,0,0,-,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2010,408,0,1796,0,0,58,-,0,0,-,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
2011,817,0,3524,0,0,54,-,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,68,0,0,0
2012,1076,0,1715,0,0,59,-,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,73,0,0,0
2013,1435,0,1690,0,0,168,-,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,73,0,0,0
2014,1606,0,1854,0,0,182,0,0,0,30,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,80,0,0,0
2015,1675,0,1945,0,0,188,0,0,0,31,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,82,0,0,0
2016,1606,0,2058,0,0,179,0,0,0,30,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,80,0,0,0
2017,1504,0,1862,0,0,169,0,0,0,35,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,76,0,0,0
2018,1412,0,1755,0,0,161,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2019,1602,0,1877,0,0,151,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2020,1483,0,1921,0,0,169,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2021,1543,0,1798,0,0,174,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2022,1739,0,1394,0,0,221,0,0,0,1683,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,1,0,0,0
2023,1191,0,1005,0,0,166,0,0,0,241,0,0,0,0,0,217,16,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0
2024,1040,0,1044,0,0,118,0,0,0,312,0,0,1,0,0,225,18,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,8,0,0,0
